Jahr,Note,Bundesland,Anzahl
2007,2.6,BW,2319
2007,2.7,BW,2399
2007,2.8,BW,2322
2007,2.9,BW,2010
2007,3,BW,1989
2007,3.1,BW,1752
2007,3.2,BW,1625
2007,3.3,BW,1360
2007,3.4,BW,998
2007,3.5,BW,748
2007,3.6,BW,336
2007,3.7,BW,133
2007,3.8,BW,18
2007,3.9,BW,3
2007,4,BW,0
2007,1,BY,297
2007,1.1,BY,276
2007,1.2,BY,369
2007,1.3,BY,496
2007,1.4,BY,590
2007,1.5,BY,802
2007,1.6,BY,947
2007,1.7,BY,1171
2007,1.8,BY,1294
2007,1.9,BY,1387
2007,2,BY,1508
2007,2.1,BY,1732
2007,2.2,BY,1817
2007,2.3,BY,1845
2007,2.4,BY,1816
2007,2.5,BY,2049
2007,2.6,BY,1945
2007,2.7,BY,1916
2007,2.8,BY,1866
2007,2.9,BY,1725
2007,3,BY,1474
2007,3.1,BY,1395
2007,3.2,BY,1248
2007,3.3,BY,1013
2007,3.4,BY,763
2007,3.5,BY,587
2007,3.6,BY,318
2007,3.7,BY,162
2007,3.8,BY,50
2007,3.9,BY,17
2007,4,BY,10
2007,1,HB,44
2007,1.1,HB,21
2007,1.2,HB,40
2007,1.3,HB,44
2007,1.4,HB,54
2007,1.5,HB,51
2007,1.6,HB,66
2007,1.7,HB,77
2007,1.8,HB,84
2007,1.9,HB,64
2007,2,HB,123
2007,2.1,HB,110
2007,2.2,HB,139
2007,2.3,HB,88
2007,2.4,HB,108
2007,2.5,HB,136
2007,2.6,HB,144
2007,2.7,HB,136
2007,2.8,HB,141
2007,2.9,HB,114
2007,3,HB,130
2007,3.1,HB,127
2007,3.2,HB,115
2007,3.3,HB,82
2007,3.4,HB,81
2007,3.5,HB,66
2007,3.6,HB,39
2007,3.7,HB,19
2007,3.8,HB,3
2007,3.9,HB,0
2007,4,HB,1
2007,1,HE,248
2007,1.1,HE,166
2007,1.2,HE,241
2007,1.3,HE,276
2007,1.4,HE,364
2007,1.5,HE,496
2007,1.6,HE,563
2007,1.7,HE,626
2007,1.8,HE,675
2007,1.9,HE,740
2007,2,HE,867
2007,2.1,HE,984
2007,2.2,HE,964
2007,2.3,HE,1044
2007,2.4,HE,1053
2007,2.5,HE,1202
2007,2.6,HE,1223
2007,2.7,HE,1243
2007,2.8,HE,1235
2007,2.9,HE,1104
2007,3,HE,1220
2007,3.1,HE,999
2007,3.2,HE,897
2007,3.3,HE,796
2007,3.4,HE,550
2007,3.5,HE,370
2007,3.6,HE,241
2007,3.7,HE,80
2007,3.8,HE,9
2007,3.9,HE,2
2007,4,HE,0
2007,1,HH,58
2007,1.1,HH,44
2007,1.2,HH,64
2007,1.3,HH,69
2007,1.4,HH,81
2007,1.5,HH,117
2007,1.6,HH,156
2007,1.7,HH,164
2007,1.8,HH,206
2007,1.9,HH,201
2007,2,HH,218
2007,2.1,HH,254
2007,2.2,HH,273
2007,2.3,HH,296
2007,2.4,HH,326
2007,2.5,HH,368
2007,2.6,HH,375
2007,2.7,HH,388
2007,2.8,HH,395
2007,2.9,HH,343
2007,3,HH,373
2007,3.1,HH,368
2007,3.2,HH,329
2007,3.3,HH,303
2007,3.4,HH,233
2007,3.5,HH,192
2007,3.6,HH,117
2007,3.7,HH,44
2007,3.8,HH,5
2007,3.9,HH,1
2007,4,HH,0
2007,1,MV,69
2007,1.1,MV,55
2007,1.2,MV,82
2007,1.3,MV,124
2007,1.4,MV,139
2007,1.5,MV,192
2007,1.6,MV,224
2007,1.7,MV,268
2007,1.8,MV,241
2007,1.9,MV,299
2007,2,MV,287
2007,2.1,MV,321
2007,2.2,MV,372
2007,2.3,MV,356
2007,2.4,MV,402
2007,2.5,MV,376
2007,2.6,MV,373
2007,2.7,MV,404
2007,2.8,MV,370
2007,2.9,MV,316
2007,3,MV,325
2007,3.1,MV,287
2007,3.2,MV,249
2007,3.3,MV,227
2007,3.4,MV,134
2007,3.5,MV,115
2007,3.6,MV,52
2007,3.7,MV,15
2007,3.8,MV,3
2007,3.9,MV,0
2007,4,MV,0
2007,1,NI,131
2007,1.1,NI,116
2007,1.2,NI,179
2007,1.3,NI,234
2007,1.4,NI,277
2007,1.5,NI,386
2007,1.6,NI,446
2007,1.7,NI,527
2007,1.8,NI,615
2007,1.9,NI,737
2007,2,NI,811
2007,2.1,NI,878
2007,2.2,NI,990
2007,2.3,NI,1123
2007,2.4,NI,1145
2007,2.5,NI,1356
2007,2.6,NI,1459
2007,2.7,NI,1551
2007,2.8,NI,1609
2007,2.9,NI,1756
2007,3,NI,1717
2007,3.1,NI,1752
2007,3.2,NI,1786
2007,3.3,NI,1699
2007,3.4,NI,1433
2007,3.5,NI,1258
2007,3.6,NI,895
2007,3.7,NI,471
2007,3.8,NI,120
2007,3.9,NI,15
2007,4,NI,0
2007,1,NW,419
2007,1.1,NW,361
2007,1.2,NW,475
2007,1.3,NW,700
2007,1.4,NW,813
2007,1.5,NW,989
2007,1.6,NW,1153
2007,1.7,NW,1395
2007,1.8,NW,1638
2007,1.9,NW,1675
2007,2,NW,1872
2007,2.1,NW,2041
2007,2.2,NW,2383
2007,2.3,NW,2506
2007,2.4,NW,2549
2007,2.5,NW,2876
2007,2.6,NW,3041
2007,2.7,NW,3248
2007,2.8,NW,3293
2007,2.9,NW,3332
2007,3,NW,3277
2007,3.1,NW,3360
2007,3.2,NW,3304
2007,3.3,NW,3145
2007,3.4,NW,2705
2007,3.5,NW,2386
2007,3.6,NW,1737
2007,3.7,NW,919
2007,3.8,NW,254
2007,3.9,NW,36
2007,4,NW,0
2007,1,RP,87
2007,1.1,RP,82
2007,1.2,RP,107
2007,1.3,RP,132
2007,1.4,RP,183
2007,1.5,RP,222
2007,1.6,RP,275
2007,1.7,RP,309
2007,1.8,RP,398
2007,1.9,RP,386
2007,2,RP,528
2007,2.1,RP,515
2007,2.2,RP,554
2007,2.3,RP,618
2007,2.4,RP,654
2007,2.5,RP,693
2007,2.6,RP,748
2007,2.7,RP,776
2007,2.8,RP,837
2007,2.9,RP,808
2007,3,RP,983
2007,3.1,RP,811
2007,3.2,RP,830
